name,price,points,position,team,team_pr,team_GF,team_GA,opponent,opponent_pr,opponent_GF,opponent_GA,Apps,Mins,Goals,Assists,SpG,Rating,Apps%,Mins%,Goals%,Assists%,GnA%,name_e
ריאן פרייזר,5,0,M,סקוטלנד,0.18797231776519688,0,0,צ`כיה,0.4328339833197214,0,0,4,320,3,0,1.75,7.175000000000001,0.5,0.4444444444444444,0.25,0.0,0.13636363636363635,Ryan Fraser
ריפאט ז'מאלטדינוב,5,0,M,רוסיה,0.366186018983931,0,0,בלגיה,0.9179063105527637,0,0,2,177,0,0,0.3,6.37,0.25,0.2489451476793249,0.0,0.0,0.0,Rifat Zhemaletdinov
שטפן אילזנקר,5,0,M,אוסטריה,0.4274293041742171,0,0,צפון מקדוניה,0.02757270071027259,0,0,7,596,0,0,0.55,6.76,0.7777777777777778,0.7487437185929648,0.0,0.0,0.0,Stefan Ilsanker
תומאס דילייני,5,0,M,דנמרק,0.7458117240666777,0,0,פינלנד,0.04697682260816799,0,0,8,685,0,2,0.75,7.2,0.8888888888888888,0.8942558746736292,0.0,0.18181818181818182,0.06451612903225806,Thomas Delaney
אדם נאג'י,4,0,M,הונגריה,0.15166163251232578,0,0,פורטוגל,0.823428402144593,0,0,7,646,0,0,0.0,6.525,0.875,0.8972222222222223,0.0,0.0,0.0,Ádám Nagy
אוקאי יוקושלו,4,0,M,טורקיה,0.6337932201305448,0,0,איטליה,0.9208837109446589,0,0,5,460,0,0,0.5,6.825,0.625,0.6784660766961652,0.0,0.0,0.0,Okay Yokuslu
אורקון קוקג'ו,4,0,M,טורקיה,0.6337932201305448,0,0,איטליה,0.9208837109446589,0,0,1,67,0,0,0.5,6.21,0.125,0.09882005899705015,0.0,0.0,0.0,Orkun Kökcü
אית'ן אמפאדו,4,0,M,וויילס,0.43758096347044995,0,0,שווייץ,0.6347220497687727,0,0,8,720,0,0,0.0,6.805,1.0,1.0,0.0,0.0,0.0,Ethan Ampadu
אלבין אקדל,4,0,M,שבדיה,0.6155543021008592,0,0,ספרד,0.7863741106464169,0,0,4,359,0,0,0.5,6.3100000000000005,0.5,0.5143266475644699,0.0,0.0,0.0,Albin Ekdal
אנדראס שאפר,4,0,M,הונגריה,0.15166163251232578,0,0,פורטוגל,0.823428402144593,0,0,0,70,0,0,0.0,6.31,0.0,0.09722222222222222,0.0,0.0,0.0,András Schäfer
אריאן אדמי,4,0,M,צפון מקדוניה,0.02757270071027259,0,0,אוסטריה,0.4274293041742171,0,0,3,275,1,1,1.0,7.045,0.3333333333333333,0.3627968337730871,0.058823529411764705,0.1,0.07407407407407407,Arijan Ademi
בובאן ניקולוב,4,0,M,צפון מקדוניה,0.02757270071027259,0,0,אוסטריה,0.4274293041742171,0,0,6,493,0,0,1.0499999999999998,6.67,0.6666666666666666,0.6503957783641161,0.0,0.0,0.0,Boban Nikolov
ג'ו אלן,4,0,M,וויילס,0.43758096347044995,0,0,שווייץ,0.6347220497687727,0,0,1,8,0,0,0.0,6.15,0.125,0.011111111111111112,0.0,0.0,0.0,Joe Allen
ג'ו מורל,4,0,M,וויילס,0.43758096347044995,0,0,שווייץ,0.6347220497687727,0,0,6,622,0,1,0.2,6.755,0.75,0.8638888888888889,0.0,0.1111111111111111,0.05555555555555555,Joe Morrell
ג'יבריל סו,4,0,M,שווייץ,0.6347220497687727,0,0,וויילס,0.43758096347044995,0,0,3,268,0,0,0.7,6.205,0.42857142857142855,0.4253968253968254,0.0,0.0,0.0,Djibril Sow
גוסטב סוונסון,4,0,M,שבדיה,0.6155543021008592,0,0,ספרד,0.7863741106464169,0,0,1,44,0,0,0.0,5.1,0.125,0.06303724928366762,0.0,0.0,0.0,Gustav Svensson
גלן קמארה,4,0,M,פינלנד,0.04697682260816799,0,0,דנמרק,0.7458117240666777,0,0,8,705,0,0,0.5,6.585,1.0,0.9985835694050992,0.0,0.0,0.0,Glen Kamara
טיילאן אנטליאלי,4,0,M,טורקיה,0.6337932201305448,0,0,איטליה,0.9208837109446589,0,0,0,71,0,0,0.3,6.19,0.0,0.10471976401179942,0.0,0.0,0.0,Taylan Antalyali
טים ספארב,4,0,M,פינלנד,0.04697682260816799,0,0,דנמרק,0.7458117240666777,0,0,5,423,0,0,0.0,6.33,0.625,0.5991501416430595,0.0,0.0,0.0,Tim Sparv
יאקוב פשק,4,0,M,צ`כיה,0.4328339833197214,0,0,סקוטלנד,0.18797231776519688,0,0,1,76,1,0,3.0,7.18,0.14285714285714285,0.12063492063492064,0.06666666666666667,0.0,0.037037037037037035,Jakub Pesek
ינס קאיוסטה,4,0,M,שבדיה,0.6155543021008592,0,0,ספרד,0.7863741106464169,0,0,0,3,0,0,0.0,6.34,0.0,0.004297994269340974,0.0,0.0,0.0,Jens Cajuste
כריסטופר אולסון,4,0,M,שבדיה,0.6155543021008592,0,0,ספרד,0.7863741106464169,0,0,8,698,0,0,0.5,6.58,1.0,1.0,0.0,0.0,0.0,Kristoffer Olsson
לוקאס מאסופוסט,4,0,M,צ`כיה,0.4328339833197214,0,0,סקוטלנד,0.18797231776519688,0,0,5,389,0,0,0.35,6.395,0.7142857142857143,0.6174603174603175,0.0,0.0,0.0,Lukas Masopust
מאתוש ברו,4,0,M,סלובקיה,0.12769003786816638,0,0,פולין,0.43606352344699884,0,0,3,190,0,1,0.5,6.654999999999999,0.42857142857142855,0.30158730158730157,0.0,0.14285714285714285,0.0625,Matús Bero
מיקל דמסגארד,4,0,M,דנמרק,0.7458117240666777,0,0,פינלנד,0.04697682260816799,0,0,1,90,2,2,6.0,10.0,0.1111111111111111,0.1174934725848564,0.1,0.18181818181818182,0.12903225806451613,Mikkel Damsgaard
מתיאס ינסן,4,0,M,דנמרק,0.7458117240666777,0,0,פינלנד,0.04697682260816799,0,0,2,168,1,0,0.5,7.34,0.2222222222222222,0.2193211488250653,0.05,0.0,0.03225806451612903,Mathias Jensen
סטיוארט ארמסטרונג,4,0,M,סקוטלנד,0.18797231776519688,0,0,צ`כיה,0.4328339833197214,0,0,3,248,0,0,1.65,6.235,0.375,0.34444444444444444,0.0,0.0,0.0,Stuart Armstrong
סטניסלב לובוטקה,4,0,M,סלובקיה,0.12769003786816638,0,0,פולין,0.43606352344699884,0,0,3,271,0,0,0.0,6.12,0.42857142857142855,0.4301587301587302,0.0,0.0,0.0,Stanislav Lobotka
פז'מיסלב פלאשטה,4,0,M,פולין,0.43606352344699884,0,0,סלובקיה,0.12769003786816638,0,0,1,106,0,0,2.0,6.605,0.125,0.14095744680851063,0.0,0.0,0.0,Przemyslaw Placheta
פירי סוירי,4,0,M,פינלנד,0.04697682260816799,0,0,דנמרק,0.7458117240666777,0,0,1,116,0,0,0.0,6.37,0.125,0.1643059490084986,0.0,0.0,0.0,Pyry Soiri
קאלום מקרגור,4,0,M,סקוטלנד,0.18797231776519688,0,0,צ`כיה,0.4328339833197214,0,0,5,465,0,0,0.6499999999999999,6.699999999999999,0.625,0.6458333333333334,0.0,0.0,0.0,Callum McGregor
קספר קוזלובסקי,4,0,M,פולין,0.43606352344699884,0,0,סלובקיה,0.12769003786816638,0,0,0,17,0,0,1.0,6.5,0.0,0.022606382978723406,0.0,0.0,0.0,Kacper Kozlowski
רוברט טיילור,4,0,M,פינלנד,0.04697682260816799,0,0,דנמרק,0.7458117240666777,0,0,5,398,1,2,0.4,6.5,0.625,0.5637393767705382,0.1,0.2857142857142857,0.17647058823529413,Robert Taylor
רולנד שאלאי,4,0,M,הונגריה,0.15166163251232578,0,0,פורטוגל,0.823428402144593,0,0,4,333,3,0,3.5,7.27,0.5,0.4625,0.17647058823529413,0.0,0.10714285714285714,Roland Sallai
רסמוס שולר,4,0,M,פינלנד,0.04697682260816799,0,0,דנמרק,0.7458117240666777,0,0,2,231,0,0,0.15,6.609999999999999,0.25,0.3271954674220963,0.0,0.0,0.0,Rasmus Schüller
תומאש הולש,4,0,M,צ`כיה,0.4328339833197214,0,0,סקוטלנד,0.18797231776519688,0,0,3,247,0,0,0.65,6.4399999999999995,0.42857142857142855,0.39206349206349206,0.0,0.0,0.0,Tomás Holes
תומאש סוסלוב,4,0,M,סלובקיה,0.12769003786816638,0,0,פולין,0.43606352344699884,0,0,1,100,0,0,1.0,6.26,0.14285714285714285,0.15873015873015872,0.0,0.0,0.0,Tomás Suslov
תמאס צ'רי,4,0,M,הונגריה,0.15166163251232578,0,0,פורטוגל,0.823428402144593,0,0,1,99,0,0,0.0,6.425,0.125,0.1375,0.0,0.0,0.0,Tamas Cseri
אלכס קראל,3,0,M,צ`כיה,0.4328339833197214,0,0,סקוטלנד,0.18797231776519688,0,0,5,437,0,0,1.0,6.8,0.7142857142857143,0.6936507936507936,0.0,0.0,0.0,Alex Kral
אנדרס כריסטיאנסן,3,0,M,דנמרק,0.7458117240666777,0,0,פינלנד,0.04697682260816799,0,0,8,676,0,0,0.25,7.005,0.8888888888888888,0.8825065274151436,0.0,0.0,0.0,Andreas Christensen
ג'ון פלק,3,0,M,סקוטלנד,0.18797231776519688,0,0,צ`כיה,0.4328339833197214,0,0,2,160,0,0,0.0,6.375,0.25,0.2222222222222222,0.0,0.0,0.0,John Fleck
דויד סיגר,3,0,M,הונגריה,0.15166163251232578,0,0,פורטוגל,0.823428402144593,0,0,6,472,1,0,0.85,6.555,0.75,0.6555555555555556,0.058823529411764705,0.0,0.03571428571428571,Dávid Miklós Sigér
דילן לוויט,3,0,M,וויילס,0.43758096347044995,0,0,שווייץ,0.6347220497687727,0,0,1,131,0,0,0.0,6.43,0.125,0.18194444444444444,0.0,0.0,0.0,Dylan Levitt
דניאל גזדג,3,0,M,הונגריה,0.15166163251232578,0,0,פורטוגל,0.823428402144593,0,0,3,246,1,0,0.75,6.78,0.375,0.3416666666666667,0.058823529411764705,0.0,0.03571428571428571,Daniel Gazdag
דניל פומין,3,0,M,רוסיה,0.366186018983931,0,0,בלגיה,0.9179063105527637,0,0,1,69,0,1,1.0,6.56,0.125,0.0970464135021097,0.0,0.09090909090909091,0.038461538461538464,Daniil Fomin
טיומיר קוסטדינוב,3,0,M,צפון מקדוניה,0.02757270071027259,0,0,אוסטריה,0.4274293041742171,0,0,3,258,0,0,0.3,6.43,0.3333333333333333,0.3403693931398417,0.0,0.0,0.0,Tihomir Kostadinov
יוני קאוקו,3,0,M,פינלנד,0.04697682260816799,0,0,דנמרק,0.7458117240666777,0,0,3,225,0,1,0.25,6.6899999999999995,0.375,0.31869688385269124,0.0,0.14285714285714285,0.058823529411764705,Joni Kauko
כריסטיאן נורגורד,3,0,M,דנמרק,0.7458117240666777,0,0,פינלנד,0.04697682260816799,0,0,2,153,0,0,0.15,6.68,0.2222222222222222,0.19973890339425587,0.0,0.0,0.0,Christian Nørgaard
מקסים מוחין,3,0,M,רוסיה,0.366186018983931,0,0,בלגיה,0.9179063105527637,0,0,0,4,0,0,0.0,6.06,0.0,0.005625879043600563,0.0,0.0,0.0,Maksim Mukhin
מתיו סמית',3,0,M,וויילס,0.43758096347044995,0,0,שווייץ,0.6347220497687727,0,0,3,229,0,0,0.0,6.56,0.375,0.31805555555555554,0.0,0.0,0.0,Matthew Smith
סטפן ספירובסקי,3,0,M,צפון מקדוניה,0.02757270071027259,0,0,אוסטריה,0.4274293041742171,0,0,4,366,0,1,0.9,6.445,0.4444444444444444,0.48284960422163586,0.0,0.1,0.037037037037037035,Stefan Spirovski
פטר שבצ'יק,3,0,M,צ`כיה,0.4328339833197214,0,0,סקוטלנד,0.18797231776519688,0,0,0,51,0,0,0.0,6.13,0.0,0.08095238095238096,0.0,0.0,0.0,Petr Sevcik
פרהאן חסאני,3,0,M,צפון מקדוניה,0.02757270071027259,0,0,אוסטריה,0.4274293041742171,0,0,1,70,0,0,0.0,6.205,0.1111111111111111,0.09234828496042216,0.0,0.0,0.0,Ferhan Hasani
רולנד ורגה,3,0,M,הונגריה,0.15166163251232578,0,0,פורטוגל,0.823428402144593,0,0,0,47,0,0,1.0,6.55,0.0,0.06527777777777778,0.0,0.0,0.0,Roland Varga
הארי קיין,15,0,FW,אנגליה,0.8693609080358129,0,0,קרואטיה,0.5556789126350667,0,0,7,627,2,2,3.75,7.41,0.875,0.8881019830028328,0.125,0.15384615384615385,0.13793103448275862,Harry Kane
כריסטיאנו רונאלדו,15,0,FW,פורטוגל,0.823428402144593,0,0,הונגריה,0.15166163251232578,0,0,7,621,3,0,5.6,7.125,0.7777777777777778,0.7666666666666667,0.17647058823529413,0.0,0.0967741935483871,Cristiano Ronaldo
קיליאן אמבפה,15,0,FW,צרפת,0.9571898174009289,0,0,גרמניה,0.7603312730167239,0,0,5,481,2,1,2.1,6.890000000000001,0.5555555555555556,0.5938271604938271,0.14285714285714285,0.125,0.13636363636363635,Kylian Mbappé
רומלו לוקאקו,14,0,FW,בלגיה,0.9179063105527637,0,0,רוסיה,0.366186018983931,0,0,7,630,7,1,3.15,7.539999999999999,0.7777777777777778,0.7777777777777778,0.25,0.05,0.16666666666666666,Romelu Lukaku
סרג' גנאברי,13,0,FW,גרמניה,0.7603312730167239,0,0,צרפת,0.9571898174009289,0,0,7,626,2,2,2.75,7.265000000000001,0.875,0.8540245566166439,0.13333333333333333,0.16666666666666666,0.14814814814814814,Serge Gnabry
צ'ירו אימובילה,13,0,FW,איטליה,0.9208837109446589,0,0,טורקיה,0.6337932201305448,0,0,4,393,2,1,3.35,7.13,0.4444444444444444,0.48518518518518516,0.15384615384615385,0.1,0.13043478260869565,Ciro Immobile
רוברט לבנדובסקי,13,0,FW,פולין,0.43606352344699884,0,0,סלובקיה,0.12769003786816638,0,0,6,429,5,2,2.75,7.605,0.75,0.5704787234042553,0.38461538461538464,0.15384615384615385,0.2692307692307692,Robert Lewandowski
דיוגו ז'וטה,12,0,FW,פורטוגל,0.823428402144593,0,0,הונגריה,0.15166163251232578,0,0,5,480,6,2,2.4,7.37,0.5555555555555556,0.5925925925925926,0.35294117647058826,0.14285714285714285,0.25806451612903225,Diogo Jota
ממפיס דפאיי,12,0,FW,הולנד,0.7444165802422154,0,0,אוקראינה,0.398685614063681,0,0,8,708,4,3,6.15,8.26,0.8888888888888888,0.8740740740740741,0.2222222222222222,0.21428571428571427,0.21875,Memphis Depay
אלבארו מוראטה,11,0,FW,ספרד,0.7863741106464169,0,0,שבדיה,0.6155543021008592,0,0,4,356,2,0,2.6,7.199999999999999,0.5714285714285714,0.5553822152886115,0.10526315789473684,0.0,0.05714285714285714,Álvaro Morata
דריס מרטנס,11,0,FW,בלגיה,0.9179063105527637,0,0,רוסיה,0.366186018983931,0,0,6,489,3,1,1.75,7.04,0.6666666666666666,0.6037037037037037,0.10714285714285714,0.05,0.08333333333333333,Dries Mertens
טימו ורנר,11,0,FW,גרמניה,0.7603312730167239,0,0,צרפת,0.9571898174009289,0,0,5,490,4,1,1.5,6.53,0.625,0.6684856753069577,0.26666666666666666,0.08333333333333333,0.18518518518518517,Timo Werner
אנדראה בלוטי,10,0,FW,איטליה,0.9208837109446589,0,0,טורקיה,0.6337932201305448,0,0,5,392,2,0,4.0,6.975,0.5555555555555556,0.4839506172839506,0.15384615384615385,0.0,0.08695652173913043,Andrea Belotti
ארטם דזיובה,10,0,FW,רוסיה,0.366186018983931,0,0,בלגיה,0.9179063105527637,0,0,7,619,5,2,3.0,7.88,0.875,0.870604781997187,0.3333333333333333,0.18181818181818182,0.2692307692307692,Artem Dzyuba
ארקדיוש מיליק,10,0,FW,פולין,0.43606352344699884,0,0,סלובקיה,0.12769003786816638,0,0,3,374,0,1,1.45,6.385,0.375,0.4973404255319149,0.0,0.07692307692307693,0.038461538461538464,Arkadiusz Milik
ברונו פטקוביץ',10,0,FW,קרואטיה,0.5556789126350667,0,0,אנגליה,0.8693609080358129,0,0,1,95,1,0,0.3,6.43,0.1111111111111111,0.11728395061728394,0.08333333333333333,0.0,0.05,Bruno Petkovic
גארת' בייל,10,0,FW,וויילס,0.43758096347044995,0,0,שווייץ,0.6347220497687727,0,0,6,461,0,4,2.75,7.27,0.75,0.6402777777777777,0.0,0.4444444444444444,0.2222222222222222,Gareth Bale
ז'ואאו פליקס,10,0,FW,פורטוגל,0.823428402144593,0,0,הונגריה,0.15166163251232578,0,0,7,560,2,1,1.7000000000000002,6.735,0.7777777777777778,0.691358024691358,0.11764705882352941,0.07142857142857142,0.0967741935483871,João Félix
אוליביה ז'ירו,9,0,FW,צרפת,0.9571898174009289,0,0,גרמניה,0.7603312730167239,0,0,4,388,3,0,1.85,6.59,0.4444444444444444,0.47901234567901235,0.21428571428571427,0.0,0.13636363636363635,Olivier Giroud
אלכסנדר איסאק,9,0,FW,שבדיה,0.6155543021008592,0,0,ספרד,0.7863741106464169,0,0,4,326,1,0,1.9,6.79,0.5,0.4670487106017192,0.1111111111111111,0.0,0.06666666666666667,Alexander Isak
אנדרה סילבה,9,0,FW,פורטוגל,0.823428402144593,0,0,הונגריה,0.15166163251232578,0,0,1,93,1,0,0.75,6.625,0.1111111111111111,0.11481481481481481,0.058823529411764705,0.0,0.03225806451612903,André Silva
אנדרי ירמולנקו,9,0,FW,אוקראינה,0.398685614063681,0,0,הולנד,0.7444165802422154,0,0,4,328,1,1,1.3,6.77,0.5714285714285714,0.5206349206349207,0.125,0.14285714285714285,0.13333333333333333,Andriy Yarmolenko
אנדרי קרמאריץ',9,0,FW,קרואטיה,0.5556789126350667,0,0,אנגליה,0.8693609080358129,0,0,3,288,1,0,1.4,6.1899999999999995,0.3333333333333333,0.35555555555555557,0.08333333333333333,0.0,0.05,Andrej Kramaric
דומיניק קלברט-לווין,9,0,FW,אנגליה,0.8693609080358129,0,0,קרואטיה,0.5556789126350667,0,0,2,169,2,0,1.85,6.885,0.25,0.23937677053824363,0.125,0.0,0.06896551724137931,Dominic Calvert-Lewin
האריס ספרוביץ',9,0,FW,שווייץ,0.6347220497687727,0,0,וויילס,0.43758096347044995,0,0,7,615,2,1,3.4,7.05,1.0,0.9761904761904762,0.2,0.125,0.16666666666666666,Haris Seferovic
וויסאם בן יידר,9,0,FW,צרפת,0.9571898174009289,0,0,גרמניה,0.7603312730167239,0,0,1,94,0,0,0.0,6.28,0.1111111111111111,0.11604938271604938,0.0,0.0,0.0,Wissam Ben Yedder
כריסטיאן בנטקה,9,0,FW,בלגיה,0.9179063105527637,0,0,רוסיה,0.366186018983931,0,0,0,26,1,0,3.0,7.55,0.0,0.03209876543209877,0.03571428571428571,0.0,0.020833333333333332,Christian Benteke
לוק דה יונג,9,0,FW,הולנד,0.7444165802422154,0,0,אוקראינה,0.398685614063681,0,0,5,474,3,0,2.65,7.1899999999999995,0.5555555555555556,0.5851851851851851,0.16666666666666666,0.0,0.09375,Luuk de Jong
בוראק אילמאז,8,0,FW,טורקיה,0.6337932201305448,0,0,איטליה,0.9208837109446589,0,0,6,548,4,0,2.4,7.025,0.75,0.8082595870206489,0.25,0.0,0.16,Burak Yilmaz
בריל אמבולו,8,0,FW,שווייץ,0.6347220497687727,0,0,וויילס,0.43758096347044995,0,0,5,408,1,3,0.85,7.175,0.7142857142857143,0.6476190476190476,0.1,0.375,0.2222222222222222,Breel Embolo
דונייל מאלן,8,0,FW,הולנד,0.7444165802422154,0,0,אוקראינה,0.398685614063681,0,0,3,264,1,0,2.0,6.535,0.3333333333333333,0.32592592592592595,0.05555555555555555,0.0,0.03125,Donyell Malen
מיצ'י באטשואי,8,0,FW,בלגיה,0.9179063105527637,0,0,רוסיה,0.366186018983931,0,0,2,154,3,1,4.5,8.585,0.2222222222222222,0.19012345679012346,0.10714285714285714,0.05,0.08333333333333333,Michy Batshuayi
מרטין בריית'ווייט,8,0,FW,דנמרק,0.7458117240666777,0,0,פינלנד,0.04697682260816799,0,0,8,649,1,1,1.9,7.15,0.8888888888888888,0.8472584856396866,0.05,0.09090909090909091,0.06451612903225806,Martin Braithwaite
מרקו ארנאוטוביץ',8,0,FW,אוסטריה,0.4274293041742171,0,0,צפון מקדוניה,0.02757270071027259,0,0,1,117,0,2,5.0,7.03,0.1111111111111111,0.14698492462311558,0.0,0.18181818181818182,0.08,Marko Arnautovic
מרקוס תוראם,8,0,FW,צרפת,0.9571898174009289,0,0,גרמניה,0.7603312730167239,0,0,1,89,0,1,1.0,6.77,0.1111111111111111,0.10987654320987654,0.0,0.125,0.045454545454545456,Marcus Thuram
סשה קלאידזיץ',8,0,FW,אוסטריה,0.4274293041742171,0,0,צפון מקדוניה,0.02757270071027259,0,0,3,236,3,0,1.35,6.785,0.3333333333333333,0.2964824120603015,0.21428571428571427,0.0,0.12,Sasa Kalajdzic
יונאס ווינד,7,0,FW,דנמרק,0.7458117240666777,0,0,פינלנד,0.04697682260816799,0,0,3,231,2,1,0.75,7.105,0.3333333333333333,0.30156657963446476,0.1,0.09090909090909091,0.0967741935483871,Jonas Wind
יוסוף פולסן,7,0,FW,דנמרק,0.7458117240666777,0,0,פינלנד,0.04697682260816799,0,0,8,634,0,0,0.85,6.58,0.8888888888888888,0.8276762402088773,0.0,0.0,0.0,Yussuf Poulsen
מריו גברנוביץ',7,0,FW,שווייץ,0.6347220497687727,0,0,וויילס,0.43758096347044995,0,0,1,107,2,0,1.25,6.65,0.14285714285714285,0.16984126984126985,0.2,0.0,0.1111111111111111,Mario Gavranovic
מרכוס ברג,7,0,FW,שבדיה,0.6155543021008592,0,0,ספרד,0.7863741106464169,0,0,6,557,1,0,0.85,6.375,0.75,0.7979942693409742,0.1111111111111111,0.0,0.06666666666666667,Marcus Berg
פטריק שיק,7,0,FW,צ`כיה,0.4328339833197214,0,0,סקוטלנד,0.18797231776519688,0,0,2,127,1,2,3.5,7.44,0.2857142857142857,0.2015873015873016,0.06666666666666667,0.16666666666666666,0.1111111111111111,Patrik Schick
קיפר מור,7,0,FW,וויילס,0.43758096347044995,0,0,שווייץ,0.6347220497687727,0,0,3,354,2,0,0.85,6.4399999999999995,0.375,0.49166666666666664,0.2222222222222222,0.0,0.1111111111111111,Kieffer Moore
אדם הלוזק,6,0,FW,צ`כיה,0.4328339833197214,0,0,סקוטלנד,0.18797231776519688,0,0,1,72,0,0,3.0,7.04,0.14285714285714285,0.11428571428571428,0.0,0.0,0.0,Adam Hlozek
אלכסנדר סובולב,6,0,FW,רוסיה,0.366186018983931,0,0,בלגיה,0.9179063105527637,0,0,0,41,1,0,0.75,6.505,0.0,0.057665260196905765,0.06666666666666667,0.0,0.038461538461538464,Alexander Sobolev
אנדראס קורנליוס,6,0,FW,דנמרק,0.7458117240666777,0,0,פינלנד,0.04697682260816799,0,0,0,7,0,0,0.0,6.1,0.0,0.009138381201044387,0.0,0.0,0.0,Andreas Cornelius
אנטה בודימיר,6,0,FW,קרואטיה,0.5556789126350667,0,0,אנגליה,0.8693609080358129,0,0,3,224,0,0,0.15,6.245,0.3333333333333333,0.2765432098765432,0.0,0.0,0.0,Ante Budimir
אנטון זבולוטני,6,0,FW,רוסיה,0.366186018983931,0,0,בלגיה,0.9179063105527637,0,0,2,146,0,0,2.25,6.365,0.25,0.20534458509142053,0.0,0.0,0.0,Anton Zabolotny
גוראן פאנדב,6,0,FW,צפון מקדוניה,0.02757270071027259,0,0,אוסטריה,0.4274293041742171,0,0,5,448,2,1,1.65,6.74,0.5555555555555556,0.5910290237467019,0.11764705882352941,0.1,0.1111111111111111,Goran Pandev
דויד סטרלץ,6,0,FW,סלובקיה,0.12769003786816638,0,0,פולין,0.43606352344699884,0,0,0,53,1,0,0.3,6.44,0.0,0.08412698412698413,0.1111111111111111,0.0,0.0625,David Strelec
טימו פוקי,6,0,FW,פינלנד,0.04697682260816799,0,0,דנמרק,0.7458117240666777,0,0,8,706,5,1,3.6,7.48,1.0,1.0,0.5,0.14285714285714285,0.35294117647058826,Teemu Pukki
כרים אוניסיוו,6,0,FW,אוסטריה,0.4274293041742171,0,0,צפון מקדוניה,0.02757270071027259,0,0,1,131,1,0,0.5,6.37,0.1111111111111111,0.16457286432160803,0.07142857142857142,0.0,0.04,Karim Onisiwo
מיכאל גרגוריץ',6,0,FW,אוסטריה,0.4274293041742171,0,0,צפון מקדוניה,0.02757270071027259,0,0,5,412,2,0,1.2,6.484999999999999,0.5555555555555556,0.5175879396984925,0.14285714285714285,0.0,0.08,Michael Gregoritsch
קנאן קארמאן,6,0,FW,טורקיה,0.6337932201305448,0,0,איטליה,0.9208837109446589,0,0,8,678,3,1,1.4,6.895,1.0,1.0,0.1875,0.1111111111111111,0.16,Kenan Karaman
קספר דולברג,6,0,FW,דנמרק,0.7458117240666777,0,0,פינלנד,0.04697682260816799,0,0,5,378,2,0,1.5,7.08,0.5555555555555556,0.4934725848563969,0.1,0.0,0.06451612903225806,Kasper Dolberg
קרול סוידרסקי,6,0,FW,פולין,0.43606352344699884,0,0,סלובקיה,0.12769003786816638,0,0,1,73,1,0,1.0,6.52,0.125,0.09707446808510638,0.07692307692307693,0.0,0.038461538461538464,Karol Swiderski
רובין קייסון,6,0,FW,שבדיה,0.6155543021008592,0,0,ספרד,0.7863741106464169,0,0,2,210,1,0,0.65,6.1850000000000005,0.25,0.3008595988538682,0.1111111111111111,0.0,0.06666666666666667,Robin Quaison
שה אדאמס,6,0,FW,סקוטלנד,0.18797231776519688,0,0,צ`כיה,0.4328339833197214,0,0,2,172,1,1,1.3,6.86,0.25,0.2388888888888889,0.08333333333333333,0.1,0.09090909090909091,Che Adams
אדם סאלאי,5,0,FW,הונגריה,0.15166163251232578,0,0,פורטוגל,0.823428402144593,0,0,6,512,2,1,2.25,6.925,0.75,0.7111111111111111,0.11764705882352941,0.09090909090909091,0.10714285714285714,Ádám Szalai
איבן טריקובסקי,5,0,FW,צפון מקדוניה,0.02757270071027259,0,0,אוסטריה,0.4274293041742171,0,0,4,324,1,0,2.0,6.45,0.4444444444444444,0.42744063324538256,0.058823529411764705,0.0,0.037037037037037035,Ivan Trichkovski
אנס אונאל,5,0,FW,טורקיה,0.6337932201305448,0,0,איטליה,0.9208837109446589,0,0,1,126,0,0,0.6,6.15,0.125,0.18584070796460178,0.0,0.0,0.0,Enes Ünal
טיילר רוברטס,5,0,FW,וויילס,0.43758096347044995,0,0,שווייץ,0.6347220497687727,0,0,1,117,0,0,0.35,6.345000000000001,0.125,0.1625,0.0,0.0,0.0,Tyler Roberts
יואל פויינפלו,5,0,FW,פינלנד,0.04697682260816799,0,0,דנמרק,0.7458117240666777,0,0,4,297,0,1,0.8,6.32,0.5,0.4206798866855524,0.0,0.14285714285714285,0.058823529411764705,Joel Pohjanpalo
לינדון דייקס,5,0,FW,סקוטלנד,0.18797231776519688,0,0,צ`כיה,0.4328339833197214,0,0,7,501,2,1,0.5,6.74,0.875,0.6958333333333333,0.16666666666666666,0.1,0.13636363636363635,Lyndon Dykes
מאתיי וידרה,5,0,FW,צ`כיה,0.4328339833197214,0,0,סקוטלנד,0.18797231776519688,0,0,2,217,1,0,1.0,6.1899999999999995,0.2857142857142857,0.34444444444444444,0.06666666666666667,0.0,0.037037037037037035,Matej Vydra
מיכאל ג'וריש,5,0,FW,סלובקיה,0.12769003786816638,0,0,פולין,0.43606352344699884,0,0,4,340,1,0,1.15,6.425,0.5714285714285714,0.5396825396825397,0.1111111111111111,0.0,0.0625,Michal Duris
מיכאל קרמנצ'יק,5,0,FW,צ`כיה,0.4328339833197214,0,0,סקוטלנד,0.18797231776519688,0,0,1,161,1,0,1.0,6.41,0.14285714285714285,0.25555555555555554,0.06666666666666667,0.0,0.037037037037037035,Michael Krmencik
נמניה ניקוליץ',5,0,FW,הונגריה,0.15166163251232578,0,0,פורטוגל,0.823428402144593,0,0,5,406,2,3,0.75,6.975,0.625,0.5638888888888889,0.11764705882352941,0.2727272727272727,0.17857142857142858,Nemanja Nikolic
